bgc_id,name,C,H,O,base_status,generability_class,forward_verdict,formula_feasible,in_range,bucket_size_approx,recovered_program
BGC0002966,luteodienoside A,23,38,13,too_large,coverage-limited-formula,formula-infeasible,False,False,0,
BGC0002970,xylariolide D,10,14,3,unreachable,coverage-limited-structural,sound-structural-gap,True,True,94,
BGC0002971,Fugralin A,12,20,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,479,
BGC0002984,Brefeldin A,16,24,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,11536,
BGC0002987,scirpilin A,26,36,2,too_large,ambiguous-budget,inconclusive-budget,True,False,0,
BGC0002999,(2S)-annullatin A,17,22,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,7243,
BGC0003006,Rasfonin,25,38,6,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0003011,Eupenifeldin,33,40,7,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0003013,agonodepside A,23,26,5,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0003028,Terrestric acid,11,14,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,92,
BGC0003032,soppiline A,21,34,3,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0003093,Phomoxanthone A,38,38,16,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0003094,Roseopurpurin C,18,20,7,unreachable,coverage-limited-structural,sound-structural-gap,True,True,334,
BGC0003099,"7-But-15-enyl-6,8-dihydroxy-3(R)-pent-11-enylisochroman-1-one",18,22,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,4724,
BGC0003108,pycnidione,33,40,7,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0003109,stachysalicyloid C,16,20,2,unreachable,coverage-limited-structural,sound-structural-gap,True,True,196,
BGC0003113,multiformin A,24,26,6,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0003115,orsellinoxypropanoic acid,11,12,6,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0003118,Multiforisin H,13,16,6,unreachable,coverage-limited-structural,sound-structural-gap,True,True,66,
BGC0003120,Minutellin A,27,30,7,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0003126,kotanin,24,22,8,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0003142,FDDP D,29,42,7,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0003144,Physodic acid,26,30,8,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0003150,Ascochitine,15,16,5,unreachable,coverage-limited-structural,sound-structural-gap,True,True,20,
BGC0003151,Annullatin D,17,22,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,7243,
