bgc_id,name,carbons,C,H,O,base_status,formula_feasible,kappa_8000,class,soundness,budget_exhausted,n_programs_executed,n_pruned_overshoot,runtime_s
BGC0001273,asperlactone,9,9,12,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,132,3328,0.085
BGC0001280,betaenone C,21,21,34,5,too_large,True,0,coverage-limited-structural,HEURISTIC,False,22640,292352,51.622
BGC0001281,ustilagic acid,36,36,64,18,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,192000,68.769
BGC0001304,aflavarin,24,24,22,9,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,192000,24.218
BGC0001305,fujikurin B,12,12,18,5,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,2147,44992,2.032
BGC0001309,usnic acid,18,18,16,7,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,0,289024,9.534
BGC0001338,citrinin,13,13,14,5,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,300,107264,1.375
BGC0001339,squalestatin S1,35,35,46,13,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,256000,66.450
BGC0001340,byssochlamic acid,18,18,20,6,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,25,289024,9.282
BGC0001373,sordarin,27,27,40,8,too_large,True,0,coverage-limited-structural,HEURISTIC,False,553,192000,34.165
